sample_id,category,dice,precision,recall,gt_pixels,pred_pixels,overlay
e0f8c428e248a17b,acceptable,0.542699,0.435769,0.71928,5663,9348,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__e0f8c428e248a17b.jpg
e81a54faadc2a80a,false_positive,0.000544,0.000544,1.0,0,1837,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_positive__e81a54faadc2a80a.jpg
e82c898f17dad0df,acceptable,0.637149,0.491491,0.905567,8100,14925,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__e82c898f17dad0df.jpg
e87b64379c66dbf6,false_negative,0.000732,1.0,0.000732,1366,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_negative__e87b64379c66dbf6.jpg
e8dfdac3ba5e628b,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__e8dfdac3ba5e628b.jpg
e92f2fa760af3f35,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__e92f2fa760af3f35.jpg
e9ba6ca44aad8920,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__e9ba6ca44aad8920.jpg
ec26fd31086b35d9,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__ec26fd31086b35d9.jpg
ec2c1cd5239257bd,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__ec2c1cd5239257bd.jpg
ed7442d005a42a4c,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__ed7442d005a42a4c.jpg
ef27f3a5fbbebaf8,acceptable,0.593635,0.429595,0.960534,3369,7534,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__ef27f3a5fbbebaf8.jpg
f3f2860220ebea2b,acceptable,0.675292,0.585109,0.798368,14823,20226,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__f3f2860220ebea2b.jpg
f4f0c070c6d3c22b,false_negative,0.00289,1.0,0.00289,345,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_negative__f4f0c070c6d3c22b.jpg
f66cc154b15ea5ca,false_positive,0.000935,0.000935,1.0,0,1069,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_positive__f66cc154b15ea5ca.jpg
f6f3334849d0060f,false_negative,0.000143,1.0,0.000143,6986,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_negative__f6f3334849d0060f.jpg
f76d80356757ad6b,false_negative,0.002004,1.0,0.002004,498,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_negative__f76d80356757ad6b.jpg
f896593368cf1efb,false_negative,5.9e-05,6.9e-05,0.000389,2571,14413,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_negative__f896593368cf1efb.jpg
f8e3cb6d6ea69c02,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__f8e3cb6d6ea69c02.jpg
fb8d41edb8feec8c,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__fb8d41edb8feec8c.jpg
fd0ee851750f80cf,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__fd0ee851750f80cf.jpg
fd2e75c6a30cc017,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__fd2e75c6a30cc017.jpg
fdf06921e673a0ba,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__fdf06921e673a0ba.jpg
fe76d16a63e51661,false_positive,0.000876,0.000876,1.0,0,1141,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_positive__fe76d16a63e51661.jpg
